Anno,Word,Cluster id
2018,vehicle,0
2018,driver,0
2018,control,0
2018,autonomous,0
2018,driver,0
2018,driving,0
2018,sensor,0
2018,datum,0
2018,state,0
2018,include,0
2018,datum,1
2018,data,1
2018,set,1
2018,method,1
2018,include,1
2018,pattern,1
2018,plurality,1
2018,entity,1
2018,model,1
2018,base,1
2018,query,2
2018,document,2
2018,search,2
2018,answer,2
2018,candidate,2
2018,question,2
2018,identify,2
2018,topic,2
2018,plurality,2
2018,base,2
2018,network,3
2018,neural,3
2018,model,3
2018,layer,3
2018,feature,3
2018,input,3
2018,vector,3
2018,output,3
2018,generate,3
2018,training,3
2018,qubit,4
2018,signal,4
2018,quantum,4
2018,second,4
2018,circuit,4
2018,josephson,4
2018,resonator,4
2018,couple,4
2018,device ,4
2018,frequency,4
2018,image,5
2018,feature,5
2018,network,5
2018,input,5
2018,neural,5
2018,use,5
2018,method,5
2018,object,5
2018,region,5
2018,pixel,5
2018,point,6
2018,function,6
2018,objective,6
2018,value,6
2018,optimization,6
2018,paramet,6
2018,datum,6
2018,method,6
2018,model,6
2018,include,6
2018,content,7
2018,application,7
2018,user,7
2018,device,7
2018,social,7
2018,interaction,7
2018,item,7
2018,online,7
2018,model,7
2018,base,7
2017,user,7
2017,information,7
2017,security,7
2017,social,7
2017,device,7
2017,base,7
2017,action,7
2017,message,7
2017,interaction,7
2017,include,7
2017,datum,1
2017,model,1
2017,method,1
2017,include,1
2017,use,1
2017,base,1
2017,information,1
2017,set,1
2017,state,1
2017,machine,1
2017,qubit,4
2017,quantum,4
2017,circuit,4
2017,logic,4
2017,gate,4
2017,couple,4
2017,signal,4
2017,microwave,4
2017,layer,4
2017,state,4
2017,image,5
2017,neural,5
2017,object,5
2017,network,5
2017,region,5
2017,plurality,5
2017,use,5
2017,pixel,5
2017,training,5
2017,base,5
2017,network,3
2017,neural,3
2017,layer,3
2017,input,3
2017,neuron,3
2017,plurality,3
2017,output,3
2017,convolutional,3
2017,training,3
2017,sequence,3
2016,feature,5
2016,vector,5
2016,network,5
2016,neural,5
2016,input,5
2016,layer,5
2016,value,5
2016,set,5
2016,plurality,5
2016,include,5
2016,quantum,4
2016,qubit,4
2016,circuit,4
2016,gate,4
2016,state,4
2016,layer,4
2016,device,4
2016,second,4
2016,couple,4
2016,substrate,4
